Fecha;Sorteo;Euros;Numero;Categoria
16/10/2021;82.º DE 2021;120000;6091;Segundo Premio Ordinario
21/10/2021;83.º DE 2021;300000;47143;Primer Premio Ordinario
21/10/2021;83.º DE 2021;60000;71816;Segundo Premio Ordinario
23/10/2021;84.º DE 2021;600000;67566;Primer Premio Ordinario
23/10/2021;84.º DE 2021;120000;28024;Segundo Premio Ordinario
28/10/2021;85.º DE 2021;300000;66289;Primer Premio Ordinario
28/10/2021;85.º DE 2021;60000;59576;Segundo Premio Ordinario
30/10/2021;86.º DE 2021;600000;53830;Primer Premio Ordinario
30/10/2021;86.º DE 2021;120000;38777;Segundo Premio Ordinario
04/11/2021;87.º DE 2021;300000;78665;Primer Premio Ordinario
04/11/2021;87.º DE 2021;60000;71220;Segundo Premio Ordinario
06/11/2021;88.º DE 2021;1500000;35514;Primer Premio Extraordinario
06/11/2021;88.º DE 2021;300000;11185;Segundo Premio Extraordinario
06/11/2021;88.º DE 2021;150000;76602;Tercer Premio Extraordinario
11/11/2021;89.º DE 2021;300000;44632;Primer Premio Ordinario
11/11/2021;89.º DE 2021;60000;24585;Segundo Premio Ordinario
13/11/2021;90.º DE 2021;600000;90433;Primer Premio Ordinario
13/11/2021;90.º DE 2021;120000;65255;Segundo Premio Ordinario
18/11/2021;91.º DE 2021;300000;97984;Primer Premio Ordinario
18/11/2021;91.º DE 2021;60000;82392;Segundo Premio Ordinario
20/11/2021;92.º DE 2021;600000;40892;Primer Premio Ordinario
20/11/2021;92.º DE 2021;120000;37405;Segundo Premio Ordinario
25/11/2021;93.º DE 2021;300000;46091;Primer Premio Ordinario
25/11/2021;93.º DE 2021;60000;44782;Segundo Premio Ordinario
27/11/2021;94.º DE 2021;600000;89494;Primer Premio Ordinario
27/11/2021;94.º DE 2021;120000;68108;Segundo Premio Ordinario
02/12/2021;95.º DE 2021;300000;36183;Primer Premio Ordinario
02/12/2021;95.º DE 2021;60000;66891;Segundo Premio Ordinario
06/12/2021;96.º DE 2021;1300000;99381;Primer Premio Extraordinario
06/12/2021;96.º DE 2021;250000;8790;Segundo Premio Extraordinario
09/12/2021;97.º DE 2021;300000;162;Primer Premio Ordinario
09/12/2021;97.º DE 2021;60000;93492;Segundo Premio Ordinario
11/12/2021;98.º DE 2021;600000;95305;Primer Premio Ordinario
11/12/2021;98.º DE 2021;120000;25582;Segundo Premio Ordinario
16/12/2021;99.º DE 2021;300000;45109;Primer Premio Ordinario
16/12/2021;99.º DE 2021;60000;63005;Segundo Premio Ordinario
18/12/2021;100.º DE 2021;600000;77811;Primer Premio Ordinario
18/12/2021;100.º DE 2021;120000;72201;Segundo Premio Ordinario
22/12/2021;102;60000;24198;1º Quinto Premio
22/12/2021;102;4000000;34345;Desconocido
22/12/2021;102;60000;42833;Desconocido
22/12/2021;102;1250000;19517;Desconocido
22/12/2021;102;60000;26711;Desconocido
23/12/2021;101.º DE 2021;300000;3383;Primer Premio Ordinario
23/12/2021;101.º DE 2021;60000;56112;Segundo Premio Ordinario
06/01/2022;1.º DE 2022;300000;52078;Primer Premio Ordinario
06/01/2022;1.º DE 2022;60000;12785;Segundo Premio Ordinario
06/01/2022;2.º DE 2022;2000000;41665;Primer Premio Extraordinario
06/01/2022;2.º DE 2022;750000;44469;Segundo Premio Extraordinario
06/01/2022;2.º DE 2022;250000;19467;Tercer Premio Extraordinario
13/01/2022;3.º DE 2022;300000;11022;Primer Premio Ordinario
13/01/2022;3.º DE 2022;60000;77085;Segundo Premio Ordinario
15/01/2022;4.º DE 2022;1500000;24695;Primer Premio Extraordinario
15/01/2022;4.º DE 2022;300000;88553;Segundo Premio Extraordinario
15/01/2022;4.º DE 2022;150000;63056;Tercer Premio Extraordinario
20/01/2022;5.º DE 2022;300000;20431;Primer Premio Ordinario
20/01/2022;5.º DE 2022;60000;16278;Segundo Premio Ordinario
22/01/2022;6.º DE 2022;1000000;17875;Primer Premio Extraordinario
22/01/2022;6.º DE 2022;250000;85529;Segundo Premio Extraordinario
22/01/2022;6.º DE 2022;50000;25584;Tercer Premio Extraordinario
27/01/2022;7.º DE 2022;300000;64758;Primer Premio Ordinario
27/01/2022;7.º DE 2022;60000;60905;Segundo Premio Ordinario
29/01/2022;8.º DE 2022;600000;30274;Primer Premio Ordinario
29/01/2022;8.º DE 2022;120000;48380;Segundo Premio Ordinario
03/02/2022;9.º DE 2022;300000;36630;Primer Premio Ordinario
03/02/2022;9.º DE 2022;60000;50016;Segundo Premio Ordinario
05/02/2022;10.º DE 2022;600000;48791;Primer Premio Ordinario
05/02/2022;10.º DE 2022;120000;35561;Segundo Premio Ordinario
10/02/2022;11.º DE 2022;300000;90038;Primer Premio Ordinario
10/02/2022;11.º DE 2022;60000;69264;Segundo Premio Ordinario
14/02/2022;12.º DE 2022;1300000;7221;Primer Premio Extraordinario
14/02/2022;12.º DE 2022;250000;54351;Segundo Premio Extraordinario
17/02/2022;13.º DE 2022;300000;25248;Primer Premio Ordinario
17/02/2022;13.º DE 2022;60000;14059;Segundo Premio Ordinario
19/02/2022;14.º DE 2022;600000;62261;Primer Premio Ordinario
19/02/2022;14.º DE 2022;120000;96784;Segundo Premio Ordinario
24/02/2022;15.º DE 2022;300000;64931;Primer Premio Ordinario
24/02/2022;15.º DE 2022;60000;39360;Segundo Premio Ordinario
26/02/2022;16.º DE 2022;600000;52488;Primer Premio Ordinario
26/02/2022;16.º DE 2022;120000;6891;Segundo Premio Ordinario
03/03/2022;17.º DE 2022;300000;87176;Primer Premio Ordinario
03/03/2022;17.º DE 2022;60000;78131;Segundo Premio Ordinario
05/03/2022;18.º DE 2022;600000;66009;Primer Premio Ordinario
05/03/2022;18.º DE 2022;120000;59812;Segundo Premio Ordinario
10/03/2022;19.º DE 2022;300000;87791;Primer Premio Ordinario
10/03/2022;19.º DE 2022;60000;37318;Segundo Premio Ordinario
12/03/2022;20.º DE 2022;600000;89461;Primer Premio Ordinario
12/03/2022;20.º DE 2022;120000;41357;Segundo Premio Ordinario
17/03/2022;21.º DE 2022;300000;15130;Primer Premio Ordinario
17/03/2022;21.º DE 2022;60000;62396;Segundo Premio Ordinario
19/03/2022;22.º DE 2022;1300000;61756;Primer Premio Extraordinario
19/03/2022;22.º DE 2022;250000;17821;Segundo Premio Extraordinario
24/03/2022;23.º DE 2022;300000;16633;Primer Premio Ordinario
24/03/2022;23.º DE 2022;60000;49057;Segundo Premio Ordinario
26/03/2022;24.º DE 2022;600000;78167;Primer Premio Ordinario
26/03/2022;24.º DE 2022;120000;21992;Segundo Premio Ordinario
31/03/2022;25.º DE 2022;300000;33866;Primer Premio Ordinario
31/03/2022;25.º DE 2022;60000;89692;Segundo Premio Ordinario
02/04/2022;26.º DE 2022;600000;39218;Primer Premio Ordinario
02/04/2022;26.º DE 2022;120000;94536;Segundo Premio Ordinario
